group,scene,method,seed,static_severe,static_clean,delta_severe,delta_clean,regional_contrast,delta_overall,path_change_percent,static_duration_s,dynamic_duration_s
mesh,apartment_1,r3con-pano,0,38.103335839370914,36.47756022935714,-17.925147297843196,-1.1172612706522287,-16.807886027190968,-9.521204284247705,-2.1547730648249885,300.0,300.0
mesh,apartment_1,magician,0,19.876618286344403,22.737868648245303,1.7097858276406726,3.451217521665523,-1.7414316940248504,2.580501674653103,-5.60420315236424,300.0,300.0
mesh,apartment_1,fisherrf,0,33.52526338301904,31.967954908316738,-14.381026511807214,0.0807515052165435,-14.461778017023757,-7.15013750329533,3.36554521835295,300.0,300.0
mesh,apartment_1,gavis,0,34.66076887791328,33.94717287100426,-15.467525757472064,-0.6802571301896805,-14.787268627282383,-8.073891443830867,1.3075466372497901,300.0,300.0
mesh,apartment_1,random,0,31.894185319496465,31.378812464047268,-12.877317679310508,-2.463039076090716,-10.414278603219792,-7.670178377700619,4.072871759968089,300.0,300.0
mesh,van_gogh_room,r3con-pano,0,31.376922620503525,29.528788678720712,-11.581397232388763,1.0229483938651427,-12.604345626253906,-5.279224419261798,-12.797118715396106,300.0,300.0
mesh,van_gogh_room,magician,0,30.839962724115953,29.233872223950584,-11.224505660493897,-2.440921920187016,-8.78358374030688,-6.832713790340463,-4.88614762030396,300.0,300.0
mesh,van_gogh_room,gavis,0,29.994819201042674,29.465689714097095,-11.698822693194174,1.5634067330996402,-13.262229426293814,-5.06770798004726,-1.004669943186287,300.0,300.0
mesh,mp3d_17DRP5sb8fy,r3con-pano,0,30.449210299151602,24.889539433959698,-13.61797083560285,-0.3310506434609337,-13.286920192141917,-6.8041656088634035,4.547193097419844,300.0,300.0
mesh,mp3d_17DRP5sb8fy,magician,0,22.024126615243603,17.71827452054717,-9.064377734766637,-1.5960268871723358,-7.4683508475943015,-5.234454223179817,7.124239791485687,300.0,300.0
mesh,mp3d_17DRP5sb8fy,fisherrf,0,20.469924687436738,19.322466156635414,-3.5516933616394333,1.2076470303547353,-4.759340391994169,-1.1110059811296047,2.5736715429991674,300.0,300.0
mesh,mp3d_17DRP5sb8fy,gavis,0,28.439529784107243,20.990481040255904,-10.453541724960573,0.5873233224814989,-11.040865047442072,-4.79155964934926,-3.7453144278030925,300.0,300.0
mesh,mp3d_17DRP5sb8fy,random,0,29.805180277002442,20.142735383323945,-11.08149686549951,-1.3032577754084969,-9.778239090091013,-6.0670152808374525,-6.457239884880317,300.0,300.0
mesh,skokloster_castle,r3con-pano,0,19.450203797661874,18.54470929327186,1.9025854019403141,4.190018261517412,-2.2874328595770983,3.0463018317288686,-1.6066570053659412,300.0,300.0
mesh,skokloster_castle,magician,0,26.838589647098605,23.503022044142632,-2.2388850095891826,0.8413058857724565,-3.080190895361639,-0.6987895619083702,-0.08123476848094224,300.0,300.0
mesh,skokloster_castle,fisherrf,0,28.628260544164068,25.525436740274635,-4.2768216257731595,-0.8081788762357043,-3.468642749537455,-2.5425002510044443,-9.015020395500272,300.0,300.0
mesh,skokloster_castle,random,0,21.40433691511257,18.693384328730744,-2.123501048832736,-0.9584496224900789,-1.1650514263426572,-1.540975335661404,-1.162267205850076,300.0,300.0
gs,interior_0007,r3con-pano,0,23.498407829875074,21.28887899353124,-3.1368163392591875,-0.5074514108559462,-2.629364928403241,-1.8221338750575562,-7.434819913781876,300.0,300.0
gs,interior_0007,magician,0,24.694757428935837,19.33143744152247,-3.377999654631626,-0.06517872774021427,-3.312820926891412,-1.7215891911859131,6.823499149370171,300.0,300.0
gs,interior_0007,fisherrf,0,19.32239370266919,16.101225223345967,0.30851098504556873,2.028747580898429,-1.7202365958528603,1.1686292829719989,2.3663518628749936,300.0,300.0
gs,interior_0007,gavis,0,17.51138407482403,17.746997251518653,1.3476422500530774,1.9041092098853554,-0.556466959832278,1.62587572996922,-1.4341002106927347,270.0,270.0
gs,interior_0007,random,0,19.214286921520923,17.93538339115677,-2.3291755043644393,-0.631270783621332,-1.6979047207431073,-1.4802231439928875,17.706248508099588,300.0,300.0
gs,interior_0007,gleam,0,18.694388753156616,19.292538362654486,0.17549322712647353,-1.2717533509005854,1.447246578027059,-0.548130061887047,-35.68166130592226,300.0,244.77400344454568
gs,interior_0044,r3con-pano,0,23.00412813909624,25.249046069492003,-2.0810682166976378,-0.16985768795402834,-1.9112105287436094,-1.125462952325826,-0.9089445605238611,300.0,300.0
gs,interior_0044,magician,0,23.240660866505074,23.157008066310645,-1.1069007921823584,0.3375072776536143,-1.4444080698359727,-0.38469675726436137,0.2608695652174031,300.0,300.0
gs,interior_0044,fisherrf,0,22.912557308724537,22.072517448147156,-1.4197456672837916,1.625137619130161,-3.0448832864139526,0.10269597592319357,-1.7152423735295796,300.0,300.0
gs,interior_0044,gavis,0,21.88863863106614,19.844389702681156,-3.5802010822446313,-1.6750916581706363,-1.905109424073995,-2.6276463702076356,-0.46355254441643456,270.0,270.0
gs,interior_0044,random,0,15.717537941740904,14.18146533826939,-1.0623108859452408,0.05220729715977335,-1.1145181831050142,-0.5050517943927328,-2.0531963352981464,300.0,300.0
gs,interior_0044,gleam,0,20.670703168745725,21.064648914087623,-2.402089267376148,-2.2310316748289765,-0.17105759254717157,-2.3165604711025622,-26.152732105801356,300.0,255.57029966254083
