group,scene,condition,method,seed,configured_budget_s,actual_duration_s,duration_status,reconstruction_frames,decision_captures,path_length_m,planning_wall_time_s,eval_views,n_severe,n_clean,psnr_shared,psnr_severe,psnr_clean,psnr_cube_provisional,recorded_psnr_shared,delta_from_recorded_db,scoring,historical_completeness_5cm,historical_ssim,historical_lpips
mesh,apartment_1,d0,r3con-pano,0,300,300.0,complete,301,58,143.51033825435684,13.356049276015256,40,20,20,37.29044803436401,38.103335839370914,36.47756022935714,,37.290447992754586,4.160942523867561e-08,export_reload_legacy_dc,0.9704594916032117,0.9689064711332321,0.0670617001131177
mesh,apartment_1,d0,magician,0,300,300.0,complete,301,138,114.19999999999993,392.4593003637856,40,20,20,21.307243467294846,19.876618286344403,22.737868648245303,,21.307243490293715,-2.2998868587364996e-08,export_reload_legacy_dc,0.5171612291930892,0.5086377066239948,0.3618787056999281
mesh,apartment_1,d0,fisherrf,0,300,300.0,complete,301,98,138.36947760995406,1032.490160254063,40,20,20,32.746609145667875,33.52526338301904,31.967954908316738,,32.746609053625235,9.204264017625974e-08,export_reload_legacy_dc,0.9532612504133007,0.9537718743085861,0.10486627605278045
mesh,apartment_1,d0,gavis,0,300,300.0,complete,301,93,142.94258594420194,1634.431437055231,40,20,20,34.30397087445877,34.66076887791328,33.94717287100426,,34.30397088960195,-1.5143179155074904e-08,export_reload_legacy_dc,0.9599431495728815,0.9626795083284378,0.09979599812068045
mesh,apartment_1,d0,random,0,300,300.0,complete,301,444,73.32520255480195,0.032630579196847975,40,20,20,31.63649889177187,31.894185319496465,31.378812464047268,,31.636498804368777,8.740309098698162e-08,export_reload_legacy_dc,0.8633665125322622,0.9425325259566307,0.1361789580900222
mesh,apartment_1,dyn,r3con-pano,0,300,300.0,complete,301,74,140.41801614041273,15.509891371766571,40,20,20,27.769243750116306,20.178188541527717,35.36029895870491,,27.76924372543193,2.468437543257096e-08,export_reload_legacy_dc,0.9800036518503531,0.9020888909697533,0.18991122797597199
mesh,apartment_1,dyn,magician,0,300,300.0,complete,301,171,107.79999999999997,579.2999649760895,40,20,20,23.88774514194795,21.586404113985076,26.189086169910826,,23.887745202425055,-6.047710598977574e-08,export_reload_legacy_dc,0.7248084012297853,0.7911146760103293,0.29883060562424363
mesh,apartment_1,dyn,fisherrf,0,300,300.0,complete,301,90,143.0263649473158,992.8090951150516,40,20,20,25.596471642372546,19.144236871211824,32.04870641353328,,25.596471578710123,6.366242288891044e-08,export_reload_legacy_dc,0.928552041334998,0.8854333192110062,0.23512459811754524
mesh,apartment_1,dyn,gavis,0,300,300.0,complete,301,90,144.81162691991324,1616.3935066002305,40,20,20,26.230079430627903,19.193243120441213,33.26691574081458,,26.230079414711145,1.591675768963796e-08,export_reload_legacy_dc,0.9586798067480272,0.8767961293458939,0.2386869774432853
mesh,apartment_1,dyn,random,0,300,300.0,complete,301,457,76.31164402259587,0.025386078807059675,40,20,20,23.96632051407125,19.016867640185957,28.915773387956552,,23.966320540793152,-2.672190291264087e-08,export_reload_legacy_dc,0.8623844608832543,0.8588934749364853,0.2666089054197073
